Master NLC,Master ASC,Unique Station Name,Easting,Northing,Latitude,Longitude
616,KENu,Kennington,531604.6885,178293.7059,51.488289,-0.10587833
617,KGNu,Kensal Green,523259.3976,182793.6194,51.53061,-0.22445052
1448,KNRr,Kensal Rise,523549.7498,183230.5577,51.534474,-0.22010437
618,OLYu,Kensington (Olympia),524386.5489,179130.3067,51.497434,-0.20948904
5080,KTHr,Kent House,536081.2306,169927.8697,51.412051,-0.04466479
619,KTNu,Kentish Town,529139.8934,185118.0259,51.550182,-0.1388632
1449,KTWr,Kentish Town West,528605.9374,184717.6399,51.546709,-0.14670659
620,KETu,Kenton,516734.4734,188305.0372,51.581525,-0.31664467
5593,KWBr,Kew Bridge,519011.8721,178118.834,51.489504,-0.28722313
621,KEWu,Kew Gardens,519201.1954,176747.0933,51.477133,-0.28496487
5108,KDBr,Kidbrooke,540944.3449,175626.3614,51.462066,0.027480768
622,KILu,Kilburn,524539.9397,184647.7794,51.546991,-0.20533758
1415,KBNr,Kilburn High Road,525538.6039,183642.7371,51.537738,-0.19129632
623,KPKu,Kilburn Park,525333.0152,183341.0949,51.53507,-0.19437238
523,KGVd,King George V,543241.1659,180134.9832,51.502006,0.062350192
9476,KHDt,King Henry's Drive,537980.2289,162559.4089,51.345373,-0.020235669
6121,KGXr,King's Cross,530238.5181,183128.5668,51.532055,-0.12375722
625,KXXu,King's Cross St. Pancras,530222.9131,182928.3801,51.530252,-0.12406202
624,KBYu,Kingsbury,519354.6947,188676.6885,51.58432,-0.27870922
5565,KNGr,Kingston,518184.6076,169567.3634,51.412815,-0.30198301
5366,KNDr,Kingswood,524831.3578,156585.696,51.294729,-0.21101785
626,KNBu,Knightsbridge,527753.0939,179694.2049,51.501753,-0.16082135
5109,KCKr,Knockholt,548498.8367,162897.8572,51.34577,0.13083188
627,LGRu,Ladbroke Grove,524221.1506,181332.4224,51.51726,-0.21110424
5057,LADr,Ladywell,537720.1597,174865.593,51.456029,-0.019193865
628,LAMu,Lambeth North,531123.8301,179455.0582,51.498834,-0.1123712
